cost_usd,egress_acc,elapsed_sec,error,errors_count,first_error,fn_groups,fp_groups,frame_count_error,glass_acc,group_f1,group_precision,group_recall,gt_level,gt_units_total,hallucination_rate,matched_groups,miss_rate,model,n_groups,n_units,n_units_pred,pages_or_regions,pages_processed,pred_units_total,project,qty_mae,ufactor_acc,unit_count_error,variant
,,,,,,,,,,,,,,,,,,azure:gpt-4.1-nano,12,,13,,,,1729,,,,A
,,,,,,,,,,,,,,,,,,azure:gpt-4.1-nano,0,,0,,0,,OFR,,,,A
,,,,,,,,,,,,,,,,,,azure:gpt-4.1-nano,28,,29,,,,745,,,,A
,,,,,,,,,,,,,,,,,,azure:gpt-4.1-nano,32,,35,,,,3122,,,,A
,1.0,,,,,13,98,,1.0,0.0,0.0,0.0,,230,1.0,0,1.0,azure:gpt-4.1-nano,152,,154,,,,4006,0.0,1.0,0.33043478260869563,A
,,,,,,,,,,,,,,,,,,azure:gpt-4.1-nano,0,,0,,0,,321,,,,A
,,,,,,,,,,,,,,,,,,azure:gpt-4.1-nano,19,,20,,,,1729,,,,B
,,,,,,,,,,,,,,,,,,azure:gpt-4.1-nano,33,,38,,,,745,,,,B
,1.0,,,,,13,14,,1.0,0.0,0.0,0.0,,230,1.0,0,1.0,azure:gpt-4o,14,,72,,,,4006,0.0,1.0,0.6869565217391305,A
,,,,,,,,,,,,,,,,,,azure:gpt-4o,3,,3,,,,1729,,,,A
,0.9,,,,,4,9,,1.0,0.5806451612903226,0.5,0.6923076923076923,,230,0.5,9,0.3076923076923077,azure:gpt-4o,20,,178,,,,OFR,2.0,1.0,0.22608695652173913,A
,,,,,,,,,,,,,,,,,,azure:gpt-4o,3,,6,,,,745,,,,A
,,,,,,,,,,,,,,,,,,azure:gpt-4o,11,,38,,,,3122,,,,A
,1.0,,,,,5,9,,1.0,0.5333333333333333,0.47058823529411764,0.6153846153846154,,230,0.5294117647058824,8,0.38461538461538464,anthropic:claude-opus-4-7,18,,230,,,,OFR,6.875,1.0,0.0,A
,1.0,,,,,3,5,,1.0,0.7142857142857142,0.6666666666666666,0.7692307692307693,,230,0.3333333333333333,10,0.23076923076923078,gemini:gemini-3.1-pro-preview,18,,230,,,,OFR,8.0,1.0,0.0,A
,,,,,,,,,,,,,,,,,,gemini:gemini-3.1-pro-preview,26,,26,,,,1729,,,,A
,,,,,,,,,,,,,,,,,,gemini:gemini-3.1-pro-preview,37,,59,,,,745,,,,A
,,,,,,,,,,,,,,,,,,gemini:gemini-3.1-pro-preview,2,,7,,,,3122,,,,A
,,,,,,,,,,,,,,,,,,gemini:gemini-3.1-pro-preview,12,,12,,,,321,,,,A
0.3094,,339.29,,0,,8,19,,,0.0,0.0,0.0,extraction,24,1.0,0,1.0,gemini:gemini-3.1-pro-preview,8,58,,,,58,745,,,1.4166666666666667,E
0.3094,,339.29,,0,,5,18,,,0.08,0.05263157894736842,0.16666666666666666,offer,24,0.9473684210526315,1,0.8333333333333334,gemini:gemini-3.1-pro-preview,8,58,,,,58,745,0.0,,1.4166666666666667,E
1.9021,0.0,255.89,,0,,7,27,,,0.05555555555555556,0.03571428571428571,0.125,extraction,24,0.9642857142857143,1,0.875,anthropic:claude-opus-4-8,14,68,,,,68,745,0.0,,1.8333333333333333,E
1.9021,,255.89,,0,,6,28,,,0.0,0.0,0.0,offer,24,1.0,0,1.0,anthropic:claude-opus-4-8,14,68,,,,68,745,,,1.8333333333333333,E
0.202,1.0,170.12,,0,,7,13,,,0.09090909090909091,0.07142857142857142,0.125,extraction,24,0.9285714285714286,1,0.875,gemini:gemini-3.1-pro-preview,6,54,,,,54,745,5.0,,1.25,A
0.202,,170.12,,0,,5,13,,,0.1,0.07142857142857142,0.16666666666666666,offer,24,0.9285714285714286,1,0.8333333333333334,gemini:gemini-3.1-pro-preview,6,54,,,,54,745,2.0,,1.25,A
2.0291,,154.82,,0,,8,14,,,0.0,0.0,0.0,extraction,24,1.0,0,1.0,anthropic:claude-opus-4-8,5,41,,,,41,745,,,0.7083333333333334,A
2.0291,,154.82,,0,,6,14,,,0.0,0.0,0.0,offer,24,1.0,0,1.0,anthropic:claude-opus-4-8,5,41,,,,41,745,,,0.7083333333333334,A
0.0,,0.0,,2,"raster pages skipped (R6 cost gate): 15/15 pages [1,2,3,4,5,6,7,8,9,10...]",8,0,,,0.0,0.0,0.0,extraction,24,0.0,0,1.0,gemini:gemini-3.1-pro-preview,0,0,,,,0,745,,,1.0,C
0.0,,0.0,,2,"raster pages skipped (R6 cost gate): 15/15 pages [1,2,3,4,5,6,7,8,9,10...]",6,0,,,0.0,0.0,0.0,offer,24,0.0,0,1.0,gemini:gemini-3.1-pro-preview,0,0,,,,0,745,,,1.0,C
0.0,,0.0,,2,"raster pages skipped (R6 cost gate): 15/15 pages [1,2,3,4,5,6,7,8,9,10...]",8,0,,,0.0,0.0,0.0,extraction,24,0.0,0,1.0,anthropic:claude-opus-4-8,0,0,,,,0,745,,,1.0,C
0.0,,0.0,,2,"raster pages skipped (R6 cost gate): 15/15 pages [1,2,3,4,5,6,7,8,9,10...]",6,0,,,0.0,0.0,0.0,offer,24,0.0,0,1.0,anthropic:claude-opus-4-8,0,0,,,,0,745,,,1.0,C
